tweet_created,username,user_follower_count,tweet_text,tweet_retweet_count,source
2022-10-09,am,267,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,sopp,29,rt emy ru26 definitivamente mi love language es hacerle manualidades,7,other
2022-10-09,das,323,a love language https t co cjhnsegg,0,original tweet
2022-10-09,bigtoe,356,this really my love language https t co nb2jrxbkrd,0,original tweet
2022-10-09,ken,206,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,atlascake super happy big brain convo fun fun,520,my love language envtubers vcarepackage https t co latwuqurfu,0,original tweet
2022-10-09,david king,3072,rt ewoma physical touch is definitely my love language like yesss be all over meeee,3,other
2022-10-09,aa,623,when he s unknown has facial hair nerdy fine but doesn t know it barely on socials and his love language is physical touch,0,original tweet
2022-10-09,jalisa,69,creating memories is a love language for me,0,original tweet
2022-10-09,imani harris,317,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,mayonnaise,54,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,wen,801,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,ponko,75,rt shierushiemu i love reading about hanakotoba flower language so i tried to make a compilation of the flower s meanings in eth,82,other
2022-10-09,natalie,262,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
2022-10-09,angel,1416,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,san,222,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,te,1807,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,ceezer,476,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,anaaa,137,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,sal,22,rt miamiumiw doil love language say saranghae and kiss injoo save injoo s life more than once save her in court secured her money,124,other
2022-10-09,p a t s,36,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,reiko,98,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,redhood,19,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,aisha isa,3316,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,scorpio,86,rt fineassnayyyy my love language is definitely physical touch and quality time as long as i m under you i m literally fine,11,other
2022-10-09,irene,275,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,jamie camille,361,y all love to date a foreign but don t take the time to learn her language,0,original tweet
2022-10-09,eilidh brownlie,79,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,the black peter parker,313,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,syd,752,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,deli,130,rt 2yeji my love language is physical touch and being fucked till i cry,2107,other
2022-10-09,jaylah suggs,130,when he caters to your love language gt gt gt gt,0,original tweet
2022-10-09,sn0wed,285,oddsockstango i m actually 3 french my family is from canada and my distant family is from france it s a love https t co d7jcdtpvhp,0,original tweet
2022-10-09,noura,329,is a love language,0,original tweet
2022-10-09,paradise dapree,10216,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,joya,483,rt kickitjy jinyoung i love you in sign language jaebeom https t co qgpshz4k,61,other
2022-10-09,team peedy 3,560,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,lydia bissek,254,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,souffl,873,my love language is sending people pictures of demonic looking cats at random hours of the day,0,original tweet
2022-10-09,cant think of a name for tomorrow,74,rt tracsea the bts love language is like you are literally the entire world to me my sun my moon and my all of my stars so we must hyp,126,other
2022-10-09,shaniese x,2562,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,lu kodomo bkn indome,40,rt004sweett hajeongwoo 2tweets au selama berpacaran jeongw00 kira dulu harut0 gapernah ada rasa sama dia sampai akhirnya jeongw0,88,original tweet
2022-10-09,izz x seulo,16,rt seulrenethebae flowers are really seulrene s love language https t co 9hnmrpsc,727,seulrenethebae
2022-10-09,heartbreak kid,1284,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,nash,1042,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,cora niecy,124,this is also a love language https t co 9rqmgyiil6,0,original tweet
2022-10-09,mada,663,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,library elf,710,i fucking love python as a language,0,original tweet
2022-10-09,oriana ludi,51,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,dead,81,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,itzia kitzia,47,creo yo que mi love language es estar chingue y chingue,0,original tweet
2022-10-09,dani,768,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,alexita,83,rt jimearevaloo mi love language es vacilarte,862,jimearevaloo
2022-10-09,chris,115,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,dessi,2543,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,cami,44,so that is why time and acts of service is my love language https t co u8uieu6urq,0,original tweet
2022-10-09,majesta,0,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,usie,1342,loskii3 lol yes body language amp tone like okkk i love to see it,0,original tweet
2022-10-09,m s ocampo writes she her,1329,spuffyfields it s my headcanon that touch is buffy s love language,0,original tweet
2022-10-09,crib,34,rt oblxviete ni cowok love language nya agak lain yah littlewomene https t co tw0f4kavjg,183,other
2022-10-09,girlda,231,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,christian,305,rt barnettselena do you want starbucks gt gt gt gt yes yes i do that s my love language,2,other
2022-10-09,nour,116,rt percyelii of course i remembered is a love language,3412,percyelii
2022-10-09,ms jachymiak,12628,waldenu joypcoffee sra shalash because she made learning spanish fun and truly ignited a love of learning i am https t co bm8ngqxxcq,0,original tweet
2022-10-09,faye,17,rt shopwithmelur tak menyesal ye beli card game ni lepas viral dekat tiktok sebab i really get to know my partner better with this love,7021,shopwithmelur
2022-10-09,shea,830,rt seulrenethebae flowers are really seulrene s love language https t co 9hnmrpsc,727,seulrenethebae
2022-10-09,kim juana dc,8,rt leviwithnos i think our love language stems from how our parents loved us i usually do a lot of acts of service to my exes cleaning,616,leviwithnos
2022-10-09,theereal rayykendrick,14,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,parah,933,rt percyelii of course i remembered is a love language,3412,percyelii
2022-10-09,jveion mccutcheon,352,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,layla,290,if this is not love i dnt know what else then early morning here i am again re reading your msg to us sukkie it https t co jzti5rdol3,0,original tweet
2022-10-09,testimony,234,rt ayan eledumare dear future loml please loving god is a love language i am sorry i can t help it,350,other
2022-10-09,doli,1598,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,mitosh,199,drinking together is a love language,0,original tweet
2022-10-09,katie,37,rt tracsea the bts love language is like you are literally the entire world to me my sun my moon and my all of my stars so we must hyp,126,other
2022-10-09,izayah,17,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,ellaine,402,kaya siguro gift giving ang love language ko because my father used to shower me with gifts he was an ofw from bef https t co r4nrjvcyr2,0,original tweet
2022-10-09,kathy,595,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,catstalker has accidentally discovered seectwt,498,i love accidentally discovering that underrated games here in the english speaking sides of the world have a far la https t co yypfgtq07x,0,original tweet
2022-10-09,v,42,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,lilwalt,367,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,vinini,769,rt thebestofvocals ariana grande love language outro background vocals https t co ccks4bzsas,426,other
2022-10-09,sara fields,8507,if you like hard and heavy rough punishments and knotty goodness then this is the book for you throw in a little https t co cqpcxaycfg,0,original tweet
2022-10-09,imann,3,rt shopwithmelur tak menyesal ye beli card game ni lepas viral dekat tiktok sebab i really get to know my partner better with this love,7021,shopwithmelur
2022-10-09,sara fields,8507,a veritable super soaker of smut and you re gonna get drenched and you re gonna love it reader you re gonna wan https t co tnh9ty6gtb,0,original tweet
2022-10-09,yanna,710,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,jon,622,rt larissahermiz some of y alls love language is manipulation,3,other
2022-10-09,f de fany,84,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
2022-10-09,jack of heart,121,my love language is sending my occupational safety majoring girlfriend pics of hard osha violations todays entry https t co iluzajxxfm,0,original tweet
2022-10-09,esma,8977,rt miamiumiw doil love language say saranghae and kiss injoo save injoo s life more than once save her in court secured her money,124,other
2022-10-09,salma,76,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,naroa,110,rt jimearevaloo mi love language es vacilarte,862,jimearevaloo
2022-10-09,haii,5326,rt fineassnayyyy my love language is definitely physical touch and quality time as long as i m under you i m literally fine,11,other
2022-10-09,krissy,4998,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,wtfseven,10,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,easy money,9309,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,jalen davis j0,3149,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,kiing mack,5461,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,ngels,205,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,joselito,72,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,lilith,290,rt turpatrycia mandarme reels y tiktoks de animales es mi love language con alex706 y que blandito y suave se siente ese lugar,1,other
2022-10-09,king fikayomi,437,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,cryptopunkpizza eth,926,rt yessicaalcan9 hi i m yessica a artist who love to create art because i believe is like an international language you just have,135,other
2022-10-09,dr,17,sex is the love language,0,original tweet
2022-10-09,dabrat,2696,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,lama,24,is a love language,0,original tweet
2022-10-09,id chaos,689,rt ilyoon 7 shyjjmn the little things his worry about us the way he cares for the people he loves the actions as his personal love la,1,other
2022-10-09,alanna janai,557,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,juan r flores b,283,rt peneloperuzy love has no language https t co qeyvro2pgn,27,other
2022-10-09,ponish hk,43,rt in ahso he was there for her since the day he met her protecting her from all evil deeds her tears her fears screaming her regrets,10,other
2022-10-09,the munch,339,rt halophoenix i love english language media because it doesn t occur to us that this is the norm in many countries and we frame it as,56,other
2022-10-09,pattyconejo,926,mandarme reels y tiktoks de animales es mi love language con alex706 y que blandito y suave se siente ese lugar,1,original tweet
2022-10-09,bryan,54,rt whotfckisfrank mi love language es estar chingue y chingue,2592,whotfckisfrank
2022-10-09,criss,141,rt jimearevaloo mi love language es vacilarte,862,jimearevaloo
2022-10-09,evelynn,51,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,raji abibat oluwakemisola,143,rt aadhil x listened to asake s album and i realized you don t have to understand a language to love music,39,other
2022-10-09,r os,40,los abrazos son mi love language00,0,original tweet
2022-10-09,uh bee buh,730,my man washing my car for me is a whole love language,0,original tweet
2022-10-09,vashawn,841,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,brands,140,rt cloudninethings someone remembering your coffee order is a love language,9,other
2022-10-09,da virgoat,23,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,soto,134,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,ab,948,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,jas,44,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,b,30,it s love language https t co 7h36knwyyr,0,original tweet
2022-10-09,aysidiana,290,rt jacquiedzc mi love language es escucharte decir las cosas q t gustan y luego d rtelas cuando no las esperes,10398,jacquiedzc
2022-10-09,in s,634,rt kansaita mi love language es literalmente esto https t co idt5baijtg,165,kansaita
2022-10-09,maddii,69,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,bogsnhie,7,rt miamiumiw doil love language say saranghae and kiss injoo save injoo s life more than once save her in court secured her money,124,other
2022-10-09,zitaa,89,rt vibinpain talking shit to each other is my love language,6137,other
2022-10-09,shit talker,65,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,randall weaver,4,rt prificjay somebody what s your love language me food,4,other
2022-10-09,jen,356,rt percyelii of course i remembered is a love language,3412,percyelii
2022-10-09,teddy,24,nah cause i called someone a motherfucker and kim just said i love her foul language and i was like don t get https t co rp5jbbw3kw,0,original tweet
2022-10-09,arpanda bechuran,2893,rt nasheeeeta jarryd daelin honestly tea is my love language so if i made you a cup we re automatically bound aamaangoolam arpand d,4,other
2022-10-09,tekiabreyana,144,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,longlivemyotherhalf,776,smoking together is a love language,0,original tweet
2022-10-09,kopi,28,our love language is either it stems from our parents or we didn t experience it from them acts of service amp physi https t co wswrjpb6bm,0,original tweet
2022-10-09,therealest,721,rt fineassnayyyy my love language is definitely physical touch and quality time as long as i m under you i m literally fine,11,other
2022-10-09,malak,25,my love language https t co 9rjaxt7w36,0,original tweet
2022-10-09,james intellectual dark webb telescope,2392,rt gabrielroth what s your love language mine is english the same as my normal language,19,other
2022-10-09,susan castine,2332,rt alicerauthor spend halloween with the shifter mermaids amp mermen of the award winning sea of love series ebook https t co 9qhoqzh,1,other
2022-10-09,shaina,84,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,hikari,536,steak dinners is my love language https t co e5b96v2m83,0,original tweet
2022-10-09,heauxlsome honey,2929,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
2022-10-09,james,943,just a tip here from now on to avoid being dangerous i will only be saying that i absolutely love the tories https t co dhumoqqahe,0,original tweet
2022-10-09,mookie,1835,rt noheartinhim my love language is talking shit,1173,noheartinhim
2022-10-09,choobebs,760,rt t0nit0ne it s fascinating how your primary love language can change according to the type of partner you have for example you may no,3074,t0nit0ne
